2025-10-22T20:59:30.174665Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1280, idx: 25
2025-10-22T20:59:30.185698Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 25
2025-10-22T20:59:30.186673Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1408, idx: 26
2025-10-22T20:59:30.194592Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 26
2025-10-22T20:59:30.195154Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1536, idx: 27
2025-10-22T20:59:30.204275Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 27
2025-10-22T20:59:30.204823Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1664, idx: 28
2025-10-22T20:59:30.214432Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 28
2025-10-22T20:59:30.214930Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1792, idx: 29
2025-10-22T20:59:30.224628Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 29
2025-10-22T20:59:30.234063Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 30
2025-10-22T20:59:30.244353Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 30
2025-10-22T20:59:30.244840Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 128, idx: 31
2025-10-22T20:59:30.254271Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 31
2025-10-22T20:59:30.254780Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 256, idx: 0
2025-10-22T20:59:30.264206Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 0
2025-10-22T20:59:30.264396Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 384, idx: 1
2025-10-22T20:59:30.275386Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 1
2025-10-22T20:59:30.276127Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 512, idx: 2
2025-10-22T20:59:30.284247Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 2
2025-10-22T20:59:30.284385Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 640, idx: 3
2025-10-22T20:59:30.294429Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 3
2025-10-22T20:59:30.294666Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 768, idx: 4
2025-10-22T20:59:30.305125Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 4
2025-10-22T20:59:30.305866Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 896, idx: 5
2025-10-22T20:59:30.314560Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 5
2025-10-22T20:59:30.314907Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1024, idx: 6
2025-10-22T20:59:30.324526Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 6
2025-10-22T20:59:30.324775Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1152, idx: 7
2025-10-22T20:59:30.334139Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 7
2025-10-22T20:59:30.334347Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1280, idx: 8
2025-10-22T20:59:30.344430Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 8
2025-10-22T20:59:30.346042Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1408, idx: 9
2025-10-22T20:59:30.354443Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 9
2025-10-22T20:59:30.355483Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1536, idx: 10
2025-10-22T20:59:30.364436Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 10
2025-10-22T20:59:30.364649Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1664, idx: 11
2025-10-22T20:59:30.374433Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 11
2025-10-22T20:59:30.374895Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1792, idx: 12
2025-10-22T20:59:30.384600Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 12
2025-10-22T20:59:30.394361Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 13
2025-10-22T20:59:30.404307Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 13
2025-10-22T20:59:30.404624Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 128, idx: 14
2025-10-22T20:59:30.414748Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 14
2025-10-22T20:59:30.415243Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 256, idx: 15
2025-10-22T20:59:30.424587Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 15
2025-10-22T20:59:30.424902Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 384, idx: 16
2025-10-22T20:59:30.434453Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 16
2025-10-22T20:59:30.434751Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 512, idx: 17
2025-10-22T20:59:30.444340Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 17
2025-10-22T20:59:30.444549Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 640, idx: 18
2025-10-22T20:59:30.454155Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 18
2025-10-22T20:59:30.455380Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 768, idx: 19
2025-10-22T20:59:30.464342Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 19
2025-10-22T20:59:30.464666Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 896, idx: 20
2025-10-22T20:59:30.474540Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 20
2025-10-22T20:59:30.475027Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1024, idx: 21
2025-10-22T20:59:30.484487Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 21
2025-10-22T20:59:30.484981Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1152, idx: 22
2025-10-22T20:59:30.494532Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 22
2025-10-22T20:59:30.494946Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1280, idx: 23
2025-10-22T20:59:30.504431Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 23
2025-10-22T20:59:30.505146Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1408, idx: 24
2025-10-22T20:59:30.514236Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 24
2025-10-22T20:59:30.514454Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 1536, idx: 25
2025-10-22T20:59:30.525011Z DEBUG cpal_wasapi_in audio_analyzer_rs::audio_io: offset: 0, idx: 25
